2019-09-13 09:26:25,707 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.dev:cloud:1.0.0-BUILD-SNAPSHOT @ C:\Users\Ã¢¹Î\Documents\GitHub\GoodDeV\ChanMin\workspace\GoodDeV\pom.xml.
2019-09-13 09:26:30,529 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-13 09:26:30,533 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 19 resources
2019-09-13 09:26:30,640 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-13 09:26:30,641 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-09-13 09:26:32,051 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-13 09:26:32,053 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 19 resources
2019-09-13 09:26:32,116 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-13 09:26:32,117 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-09-13 09:26:32,410 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-13 09:26:32,412 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 19 resources
2019-09-13 09:26:32,467 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-13 09:26:32,468 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-09-13 09:26:32,734 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-13 09:26:32,736 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 19 resources
2019-09-13 09:26:32,781 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-13 09:26:32,783 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-09-13 09:26:33,058 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-13 09:26:33,060 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 19 resources
2019-09-13 09:26:33,111 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-13 09:26:33,313 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-09-13 09:26:33,590 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-13 09:26:33,592 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 19 resources
2019-09-13 09:26:33,646 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-13 09:26:33,648 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-09-13 09:26:33,872 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-13 09:26:33,874 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 19 resources
2019-09-13 09:26:33,918 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-13 09:26:33,920 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-09-13 09:26:34,154 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-13 09:26:34,156 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 19 resources
2019-09-13 09:26:34,203 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-13 09:26:34,205 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-09-13 09:31:55,912 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-13 09:31:55,922 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 19 resources
2019-09-13 09:31:55,927 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-13 09:31:55,929 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
