127.0.0.1 - - [14/Sep/2019:16:15:55 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [14/Sep/2019:16:15:56 +0900] "GET /cloud/ HTTP/1.1" 200 39320
0:0:0:0:0:0:0:1 - - [14/Sep/2019:16:15:56 +0900] "GET /cloud/resources/css/owl.theme.default.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2019:16:15:56 +0900] "GET /cloud/resources/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2019:16:15:56 +0900] "GET /cloud/resources/css/open-iconic-bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2019:16:15:56 +0900] "GET /cloud/resources/css/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2019:16:15:56 +0900] "GET /cloud/resources/css/aos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2019:16:15:56 +0900] "GET /cloud/resources/css/magnific-popup.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2019:16:15:56 +0900] "GET /cloud/resources/css/bootstrap-datepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2019:16:15:56 +0900] "GET /cloud/resources/css/icomoon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2019:16:15:56 +0900] "GET /cloud/resources/css/jquery.timepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2019:16:15:56 +0900] "GET /cloud/resources/css/flaticon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2019:16:15:56 +0900] "GET /cloud/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2019:16:15:56 +0900] "GET /cloud/resources/css/ionicons.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2019:16:15:56 +0900] "GET /cloud/resources/js/jquery-migrate-3.0.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2019:16:15:56 +0900] "GET /cloud/resources/js/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2019:16:15:56 +0900] "GET /cloud/resources/js/jquery.easing.1.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2019:16:15:56 +0900] "GET /cloud/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2019:16:15:56 +0900] "GET /cloud/resources/js/jquery.waypoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2019:16:15:56 +0900] "GET /cloud/resources/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2019:16:15:56 +0900] "GET /cloud/resources/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2019:16:15:56 +0900] "GET /cloud/resources/js/jquery.animateNumber.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2019:16:15:56 +0900] "GET /cloud/resources/js/jquery.stellar.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2019:16:15:56 +0900] "GET /cloud/resources/js/jquery.magnific-popup.min.js HTTP/1.1" 304 -
