127.0.0.1 - - [09/Oct/2019:14:03:02 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:03:04 +0900] "GET /cloud/ HTTP/1.1" 200 36781
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:03:04 +0900] "GET /cloud/resources/css/owl.theme.default.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:03:04 +0900] "GET /cloud/resources/css/open-iconic-bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:03:04 +0900] "GET /cloud/resources/css/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:03:04 +0900] "GET /cloud/resources/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:03:04 +0900] "GET /cloud/resources/css/aos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:03:04 +0900] "GET /cloud/resources/css/magnific-popup.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:03:04 +0900] "GET /cloud/resources/css/flaticon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:03:04 +0900] "GET /cloud/resources/css/ionicons.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:03:04 +0900] "GET /cloud/resources/css/new-comment.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:03:04 +0900] "GET /cloud/resources/css/icomoon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:03:04 +0900] "GET /cloud/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:03:04 +0900] "GET /cloud/resources/images/certifications.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:03:04 +0900] "GET /cloud/resources/images/handshakes.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:03:04 +0900] "GET /cloud/resources/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:03:04 +0900] "GET /cloud/resources/js/jquery-migrate-3.0.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:03:04 +0900] "GET /cloud/resources/js/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:03:04 +0900] "GET /cloud/resources/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:03:04 +0900] "GET /cloud/resources/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:03:04 +0900] "GET /cloud/resources/js/jquery.easing.1.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:03:04 +0900] "GET /cloud/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:03:04 +0900] "GET /cloud/resources/js/jquery.animateNumber.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:03:04 +0900] "GET /cloud/resources/js/jquery.waypoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:03:04 +0900] "GET /cloud/resources/js/aos.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:03:04 +0900] "GET /cloud/resources/js/jquery.stellar.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:03:04 +0900] "GET /cloud/resources/images/ranks.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:03:04 +0900] "GET /cloud/resources/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:03:04 +0900] "GET /cloud/resources/images/quality-assurances.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:03:04 +0900] "GET /cloud/resources/js/jquery.magnific-popup.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:03:04 +0900] "GET /cloud/resources/js/scrollax.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:03:04 +0900] "GET /cloud/resources/images/about_2.jpg HTTP/1.1" 304 -
