날짜,영화명,평점
20180529,당갈,9.62
20180529,위대한 쇼맨,9.37
20180529,킹 오브 프리즘 프라이드 더 히어로,9.26
20180529,러빙 빈센트,9.19
20180529,피터 래빗,9.13
20180529,박하사탕,9.08
20180529,비밥바룰라,9.03
20180529,"그날, 바다",8.99
20180529,어벤져스: 인피니티 워,8.96
20180529,소공녀,8.89
20180529,"안녕, 나의 소울메이트",8.84
20180529,데드풀 2,8.83
20180529,리틀 포레스트,8.74
20180529,더 포스트,8.74
20180529,레디 플레이어 원,8.58
20180529,플로리다 프로젝트,8.54
20180529,레이디 버드,8.48
20180529,팬텀 스레드,8.47
20180529,셰이프 오브 워터: 사랑의 모양,8.40
20180529,꾸뻬씨의 행복여행,8.24
20180529,한 솔로: 스타워즈 스토리,8.16
20180529,독전,8.05
20180529,트루스 오어 데어,8.03
20180529,마징가 Z: 인피니티,8.00
20180529,콰이어트 플레이스,7.96
20180529,북촌방향,7.83
20180529,자유의 언덕,7.65
20180529,콜 미 바이 유어 네임,7.41
20180529,"안녕, 나의 소녀",6.90
20180529,버닝,6.84
20180529,누구의 딸도 아닌 해원,6.75
20180529,나를 기억해,6.69
20180529,곤지암,6.51
20180529,챔피언,6.51
20180529,그 후,6.50
20180529,중2병이라도 사랑이 하고 싶어! 테이크 온 미,6.23
20180529,불한당: 나쁜 놈들의 세상,6.09
20180529,밤의 해변에서 혼자,5.66
20180529,레슬러,4.93
20180530,당갈,9.62
20180530,위대한 쇼맨,9.37
20180530,킹 오브 프리즘 프라이드 더 히어로,9.26
20180530,러빙 빈센트,9.19
20180530,피터 래빗,9.13
20180530,비밥바룰라,9.03
20180530,"그날, 바다",8.99
20180530,어벤져스: 인피니티 워,8.96
20180530,소공녀,8.89
20180530,"안녕, 나의 소울메이트",8.84
20180530,데드풀 2,8.83
20180530,더 포스트,8.74
20180530,플로리다 프로젝트,8.54
20180530,레이디 버드,8.48
20180530,팬텀 스레드,8.46
20180530,셰이프 오브 워터: 사랑의 모양,8.40
20180530,시카리오: 암살자의 도시,8.27
20180530,꾸뻬씨의 행복여행,8.24
20180530,폭스캐처,8.15
20180530,한 솔로: 스타워즈 스토리,8.08
20180530,독전,8.03
20180530,마징가 Z: 인피니티,7.98
20180530,트루스 오어 데어,7.95
20180530,쥬라기 월드,7.88
20180530,북촌방향,7.83
20180530,자유의 언덕,7.65
20180530,콜 미 바이 유어 네임,7.42
20180530,"안녕, 나의 소녀",6.88
20180530,버닝,6.83
20180530,누구의 딸도 아닌 해원,6.75
20180530,곤지암,6.51
20180530,그 후,6.50
20180530,챔피언,6.48
20180530,중2병이라도 사랑이 하고 싶어! 테이크 온 미,6.24
20180530,불한당: 나쁜 놈들의 세상,6.09
20180530,밤의 해변에서 혼자,5.66
20180530,레슬러,4.95
20180531,당갈,9.62
20180531,위대한 쇼맨,9.37
20180531,킹 오브 프리즘 프라이드 더 히어로,9.26
20180531,러빙 빈센트,9.20
20180531,피터 래빗,9.11
20180531,댄서,9.11
20180531,비밥바룰라,9.03
20180531,비긴 어게인,9.02
20180531,"그날, 바다",8.99
20180531,어벤져스: 인피니티 워,8.96
20180531,스포트라이트,8.90
20180531,소공녀,8.89
20180531,"안녕, 나의 소울메이트",8.84
20180531,데드풀 2,8.83
20180531,리틀 포레스트,8.74
20180531,더 포스트,8.74
20180531,플로리다 프로젝트,8.54
20180531,레이디 버드,8.48
20180531,팬텀 스레드,8.46
20180531,셰이프 오브 워터: 사랑의 모양,8.39
20180531,꾸뻬씨의 행복여행,8.24
20180531,독전,8.02
20180531,한 솔로: 스타워즈 스토리,8.01
20180531,마징가 Z: 인피니티,8.01
20180531,트루스 오어 데어,7.87
20180531,북촌방향,7.83
20180531,자유의 언덕,7.65
20180531,콜 미 바이 유어 네임,7.42
20180531,"안녕, 나의 소녀",6.86
20180531,버닝,6.83
20180531,누구의 딸도 아닌 해원,6.75
20180531,그 후,6.50
20180531,데자뷰,6.47
20180531,챔피언,6.45
20180531,중2병이라도 사랑이 하고 싶어! 테이크 온 미,6.26
20180531,불한당: 나쁜 놈들의 세상,6.09
20180531,밤의 해변에서 혼자,5.66
20180531,레슬러,4.95
20180601,당갈,9.62
20180601,위대한 쇼맨,9.37
20180601,킹 오브 프리즘 프라이드 더 히어로,9.26
20180601,러빙 빈센트,9.20
20180601,댄서,9.11
20180601,피터 래빗,9.10
20180601,비밥바룰라,9.03
20180601,비긴 어게인,9.02
20180601,"그날, 바다",8.99
20180601,어벤져스: 인피니티 워,8.97
20180601,스포트라이트,8.90
20180601,소공녀,8.90
20180601,"안녕, 나의 소울메이트",8.84
20180601,데드풀 2,8.82
20180601,더 포스트,8.74
20180601,플로리다 프로젝트,8.54
20180601,레이디 버드,8.48
20180601,셰이프 오브 워터: 사랑의 모양,8.40
20180601,꾸뻬씨의 행복여행,8.24
20180601,마징가 Z: 인피니티,8.01
20180601,독전,8.01
20180601,한 솔로: 스타워즈 스토리,7.96
20180601,트루스 오어 데어,7.84
20180601,콜 미 바이 유어 네임,7.43
20180601,"안녕, 나의 소녀",6.86
20180601,버닝,6.84
20180601,데자뷰,6.60
20180601,챔피언,6.45
20180601,중2병이라도 사랑이 하고 싶어! 테이크 온 미,6.26
20180601,불한당: 나쁜 놈들의 세상,6.09
20180601,레슬러,4.94
20180602,당갈,9.62
20180602,위대한 쇼맨,9.37
20180602,킹 오브 프리즘 프라이드 더 히어로,9.26
20180602,러빙 빈센트,9.20
20180602,댄서,9.11
20180602,피터 래빗,9.07
20180602,"그날, 바다",8.99
20180602,어벤져스: 인피니티 워,8.97
20180602,소공녀,8.89
20180602,"안녕, 나의 소울메이트",8.84
20180602,데드풀 2,8.82
20180602,"부르고뉴, 와인에서 찾은 인생",8.79
20180602,더 포스트,8.74
20180602,플로리다 프로젝트,8.55
20180602,레이디 버드,8.48
20180602,셰이프 오브 워터: 사랑의 모양,8.39
20180602,꾸뻬씨의 행복여행,8.24
20180602,마징가 Z: 인피니티,8.02
20180602,독전,7.99
20180602,한 솔로: 스타워즈 스토리,7.95
20180602,트루스 오어 데어,7.79
20180602,콜 미 바이 유어 네임,7.43
20180602,버닝,6.84
20180602,"안녕, 나의 소녀",6.82
20180602,데자뷰,6.47
20180602,챔피언,6.45
20180602,중2병이라도 사랑이 하고 싶어! 테이크 온 미,6.30
20180602,불한당: 나쁜 놈들의 세상,6.09
20180602,레슬러,4.92
20180603,당갈,9.63
20180603,위대한 쇼맨,9.37
20180603,킹 오브 프리즘 프라이드 더 히어로,9.25
20180603,러빙 빈센트,9.20
20180603,댄서,9.11
20180603,피터 래빗,9.06
20180603,"그날, 바다",8.99
20180603,어벤져스: 인피니티 워,8.96
20180603,소공녀,8.88
20180603,"안녕, 나의 소울메이트",8.84
20180603,데드풀 2,8.80
20180603,"부르고뉴, 와인에서 찾은 인생",8.80
20180603,더 포스트,8.74
20180603,플로리다 프로젝트,8.55
20180603,레이디 버드,8.48
20180603,셰이프 오브 워터: 사랑의 모양,8.39
20180603,꾸뻬씨의 행복여행,8.24
20180603,마징가 Z: 인피니티,7.99
20180603,독전,7.97
20180603,한 솔로: 스타워즈 스토리,7.97
20180603,트루스 오어 데어,7.76
20180603,콜 미 바이 유어 네임,7.44
20180603,버닝,6.84
20180603,"안녕, 나의 소녀",6.80
20180603,챔피언,6.44
20180603,중2병이라도 사랑이 하고 싶어! 테이크 온 미,6.32
20180603,데자뷰,6.29
20180603,불한당: 나쁜 놈들의 세상,6.09
20180603,레슬러,4.92
20180604,당갈,9.63
20180604,위대한 쇼맨,9.38
20180604,킹 오브 프리즘 프라이드 더 히어로,9.25
20180604,러빙 빈센트,9.20
20180604,댄서,9.11
20180604,피터 래빗,9.05
20180604,"그날, 바다",8.99
20180604,어벤져스: 인피니티 워,8.96
20180604,소공녀,8.88
20180604,"안녕, 나의 소울메이트",8.85
20180604,데드풀 2,8.80
20180604,"부르고뉴, 와인에서 찾은 인생",8.80
20180604,플로리다 프로젝트,8.55
20180604,레이디 버드,8.48
20180604,셰이프 오브 워터: 사랑의 모양,8.39
20180604,꾸뻬씨의 행복여행,8.24
20180604,마징가 Z: 인피니티,7.97
20180604,한 솔로: 스타워즈 스토리,7.96
20180604,독전,7.94
20180604,트루스 오어 데어,7.75
20180604,콜 미 바이 유어 네임,7.45
20180604,버닝,6.83
20180604,"안녕, 나의 소녀",6.80
20180604,중2병이라도 사랑이 하고 싶어! 테이크 온 미,6.33
20180604,데자뷰,6.26
20180604,불한당: 나쁜 놈들의 세상,6.09
20180604,레슬러,4.89
20180605,당갈,9.63
20180605,위대한 쇼맨,9.38
20180605,킹 오브 프리즘 프라이드 더 히어로,9.25
20180605,러빙 빈센트,9.20
20180605,뽀로로 극장판 공룡섬 대모험,9.17
20180605,댄서,9.11
20180605,피터 래빗,9.04
20180605,"그날, 바다",8.99
20180605,어벤져스: 인피니티 워,8.96
20180605,소공녀,8.88
20180605,"안녕, 나의 소울메이트",8.85
20180605,데드풀 2,8.80
20180605,"부르고뉴, 와인에서 찾은 인생",8.79
20180605,플로리다 프로젝트,8.55
20180605,레이디 버드,8.48
20180605,한 솔로: 스타워즈 스토리,7.96
20180605,마징가 Z: 인피니티,7.96
20180605,독전,7.94
20180605,트루스 오어 데어,7.74
20180605,콜 미 바이 유어 네임,7.45
20180605,버닝,6.83
20180605,"안녕, 나의 소녀",6.80
20180605,중2병이라도 사랑이 하고 싶어! 테이크 온 미,6.35
20180605,데자뷰,6.20
20180605,불한당: 나쁜 놈들의 세상,6.09
20180605,레슬러,4.89
20180606,당갈,9.63
20180606,위대한 쇼맨,9.37
20180606,킹 오브 프리즘 프라이드 더 히어로,9.25
20180606,러빙 빈센트,9.20
20180606,뽀로로 극장판 공룡섬 대모험,9.17
20180606,댄서,9.11
20180606,피터 래빗,9.03
20180606,"그날, 바다",8.99
20180606,어벤져스: 인피니티 워,8.97
20180606,소공녀,8.87
20180606,"안녕, 나의 소울메이트",8.83
20180606,"부르고뉴, 와인에서 찾은 인생",8.80
20180606,데드풀 2,8.79
20180606,쥬라기 월드: 폴른 킹덤,8.66
20180606,플로리다 프로젝트,8.55
20180606,레이디 버드,8.48
20180606,한 솔로: 스타워즈 스토리,7.96
20180606,독전,7.93
20180606,마징가 Z: 인피니티,7.92
20180606,트루스 오어 데어,7.73
20180606,버닝,6.83
20180606,"안녕, 나의 소녀",6.81
20180606,중2병이라도 사랑이 하고 싶어! 테이크 온 미,6.37
20180606,데자뷰,6.15
20180606,불한당: 나쁜 놈들의 세상,6.09
20180606,레슬러,4.90
20180607,당갈,9.63
20180607,위대한 쇼맨,9.38
20180607,다시 태어나도 우리,9.34
20180607,킹 오브 프리즘 프라이드 더 히어로,9.25
20180607,아이 필 프리티,9.25
20180607,러빙 빈센트,9.20
20180607,뽀로로 극장판 공룡섬 대모험,9.17
20180607,댄서,9.11
20180607,피터 래빗,9.03
20180607,"그날, 바다",8.99
20180607,어벤져스: 인피니티 워,8.97
20180607,소공녀,8.88
20180607,"안녕, 나의 소울메이트",8.83
20180607,"부르고뉴, 와인에서 찾은 인생",8.79
20180607,데드풀 2,8.79
20180607,플로리다 프로젝트,8.55
20180607,쥬라기 월드: 폴른 킹덤,8.53
20180607,레이디 버드,8.47
20180607,한 솔로: 스타워즈 스토리,7.97
20180607,마징가 Z: 인피니티,7.91
20180607,독전,7.91
20180607,트루스 오어 데어,7.73
20180607,"안녕, 나의 소녀",6.80
20180607,버닝,6.80
20180607,중2병이라도 사랑이 하고 싶어! 테이크 온 미,6.37
20180607,불한당: 나쁜 놈들의 세상,6.09
20180607,데자뷰,6.01
20180607,레슬러,4.89
20180608,당갈,9.63
