순위,영화명,평점
1,알라딘,9.43
2,어벤져스: 엔드게임,9.39
3,아이 캔 스피크,9.37
4,레드슈즈,9.36
5,모던 타임즈,9.31
6,뽀로로 극장판 보물섬 대모험,9.28
7,교회오빠,9.27
8,이웃집 토토로,9.26
9,토이 스토리 4,9.09
10,퍼펙트 월드,9.03
11,양들의 침묵,9.00
12,마녀 배달부 키키,9.00
13,세상을 바꾼 변호인,8.90
14,마담 프루스트의 비밀정원,8.90
15,디어 헌터,8.86
16,연인,8.86
17,천로역정: 천국을 찾아서,8.73
18,엑소시스트,8.58
19,마이펫의 이중생활,8.57
20,기생충,8.51
21,그녀,8.50
22,스파이더맨: 파 프롬 홈,8.41
23,롱 샷,8.41
24,바스터즈: 거친 녀석들,8.32
25,라이온 킹,8.31
26,존 윅 3: 파라벨룸,8.26
27,파리로 가는 길,7.90
28,박화영,7.70
29,롱 리브 더 킹: 목포 영웅,7.64
30,노리개: 그녀의 눈물,7.37
31,진범,7.34
32,미드소마,6.91
33,애나벨 집으로,6.70
34,기방도령,5.82
35,사일런스,5.68
36,명탐정 코난: 감청의 권,5.68
37,비스트,5.51
38,극장판 엉덩이 탐정: 화려한 사건 수첩,4.02
39,나랏말싸미,3.64
